Indicator,Time Period,Parent Code,Parent Name,Area Code,Area Name,Value,Lower CI,Upper CI,Count,Denominator,Sex,Age,Note
New STI (exc Chlamydia aged under 25),2013,,,E12000004,East Midlands region,671.74,662.45,681.13,19934.00,2967503.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2013,,,E12000005,West Midlands region,718.65,709.96,727.43,26092.00,3630676.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2013,,,E12000006,East of England region,680.15,671.86,688.51,25733.00,3783432.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2013,,,E12000007,London region,1437.50,1427.80,1447.25,84069.00,5848261.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2013,,,E12000008,South East region,664.56,657.84,671.34,37329.00,5617060.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2013,,,E12000009,South West region,677.68,668.93,686.51,22911.00,3380798.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2014,,,E12000001,North East region,669.44,657.19,681.87,11362.00,1697234.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2014,,,E12000002,North West region,779.40,771.36,787.51,35852.00,4599932.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2014,,,E12000003,Yorkshire and the Humber region,687.88,679.16,696.68,23782.00,3457300.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2014,,,E12000004,East Midlands region,640.64,631.56,649.81,19011.00,2967503.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2014,,,E12000005,West Midlands region,718.16,709.47,726.93,26074.00,3630676.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2014,,,E12000006,East of England region,669.42,661.20,677.71,25327.00,3783432.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2014,,,E12000007,London region,1534.46,1524.43,1544.53,89739.00,5848261.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2014,,,E12000008,South East region,648.83,642.18,655.52,36445.00,5617060.00,Persons,15-64 yrs,
New STI (exc Chlamydia aged under 25),2014,,,E12000009,South West region,659.81,651.18,668.53,22307.00,3380798.00,Persons,15-64 yrs,
Hip fractures in people aged 65 and over,2010/11,,,E12000001,North East region,645.70,621.15,670.91,2990.00,445452.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2010/11,,,E12000002,North West region,583.09,568.83,597.60,7159.00,1160693.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2010/11,,,E12000003,Yorkshire and the Humber region,583.89,567.63,600.48,5470.00,866679.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2010/11,,,E12000004,East Midlands region,595.95,578.32,613.96,4827.00,762904.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2010/11,,,E12000005,West Midlands region,590.24,574.33,606.46,5865.00,935834.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2010/11,,,E12000006,East of England region,573.28,558.53,588.31,6366.00,1010305.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2010/11,,,E12000007,London region,550.09,534.81,565.69,5389.00,897161.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2010/11,,,E12000008,South East region,581.74,569.59,594.08,9672.00,1461706.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2010/11,,,E12000009,South West region,550.83,536.56,565.38,6331.00,1022881.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2011/12,,,E12000001,North East region,629.87,606.20,654.18,3005.00,452557.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2011/12,,,E12000002,North West region,590.44,576.39,604.74,7442.00,1179299.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2011/12,,,E12000003,Yorkshire and the Humber region,576.18,560.23,592.45,5491.00,881165.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2011/12,,,E12000004,East Midlands region,600.86,583.40,618.70,4958.00,779611.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2011/12,,,E12000005,West Midlands region,584.02,568.52,599.82,5972.00,953050.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2011/12,,,E12000006,East of England region,567.91,553.45,582.63,6437.00,1033855.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2011/12,,,E12000007,London region,542.82,527.81,558.13,5413.00,910130.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2011/12,,,E12000008,South East region,573.45,561.56,585.53,9750.00,1495470.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2011/12,,,E12000009,South West region,551.10,537.23,565.23,6591.00,1044530.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2012/13,,,E12000001,North East region,627.77,604.52,651.66,3051.00,468633.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2012/13,,,E12000002,North West region,589.19,575.30,603.32,7529.00,1221740.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2012/13,,,E12000003,Yorkshire and the Humber region,571.62,556.00,587.56,5557.00,912679.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2012/13,,,E12000004,East Midlands region,556.05,539.55,572.90,4707.00,811138.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2012/13,,,E12000005,West Midlands region,588.17,572.73,603.91,6087.00,983838.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2012/13,,,E12000006,East of England region,570.64,556.41,585.14,6670.00,1078070.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2012/13,,,E12000007,London region,531.83,517.06,546.89,5368.00,937411.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2012/13,,,E12000008,South East region,553.78,542.26,565.47,9621.00,1557705.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2012/13,,,E12000009,South West region,555.48,541.64,569.57,6690.00,1085294.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2013/14,,,E12000001,North East region,650.74,627.28,674.83,3201.00,480212.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2013/14,,,E12000002,North West region,596.90,583.02,611.00,7705.00,1252587.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2013/14,,,E12000003,Yorkshire and the Humber region,574.17,558.54,590.11,5598.00,935822.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2013/14,,,E12000004,East Midlands region,553.15,536.95,569.69,4786.00,836282.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2013/14,,,E12000005,West Midlands region,588.35,573.25,603.73,6277.00,1006893.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2013/14,,,E12000006,East of England region,587.95,573.72,602.44,7014.00,1111502.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2013/14,,,E12000007,London region,529.94,515.45,544.71,5478.00,960336.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2013/14,,,E12000008,South East region,585.05,573.34,596.94,10299.00,1605184.00,Persons,65+ yrs,
Hip fractures in people aged 65 and over,2013/14,,,E12000009,South West region,574.54,560.62,588.72,7019.00,1116361.00,Persons,65+ yrs,
Excess winter deaths (three year),Aug 2006 - Jul 2009,,,E12000001,North East region,18.46,16.77,20.16,4643.50,25160.50,Persons,All ages,
Excess winter deaths (three year),Aug 2006 - Jul 2009,,,E12000002,North West region,17.57,16.53,18.62,11534.00,65643.00,Persons,All ages,
Excess winter deaths (three year),Aug 2006 - Jul 2009,,,E12000003,Yorkshire and the Humber region,17.60,16.37,18.84,8265.50,46965.50,Persons,All ages,
Excess winter deaths (three year),Aug 2006 - Jul 2009,,,E12000004,East Midlands region,17.21,15.87,18.57,6741.50,39172.50,Persons,All ages,
Excess winter deaths (three year),Aug 2006 - Jul 2009,,,E12000005,West Midlands region,19.31,18.09,20.55,9329.50,48308.50,Persons,All ages,
Excess winter deaths (three year),Aug 2006 - Jul 2009,,,E12000006,East of England region,18.65,17.43,19.88,9060.50,48585.50,Persons,All ages,
Excess winter deaths (three year),Aug 2006 - Jul 2009,,,E12000007,London region,18.15,16.92,19.40,8497.50,46806.50,Persons,All ages,
Excess winter deaths (three year),Aug 2006 - Jul 2009,,,E12000008,South East region,17.83,16.83,18.85,12591.00,70609.00,Persons,All ages,
Excess winter deaths (three year),Aug 2006 - Jul 2009,,,E12000009,South West region,18.47,17.26,19.68,9121.00,49396.00,Persons,All ages,
Excess winter deaths (three year),Aug 2007 - Jul 2010,,,E12000001,North East region,17.01,15.33,18.71,4243.50,24944.50,Persons,All ages,
Excess winter deaths (three year),Aug 2007 - Jul 2010,,,E12000002,North West region,18.07,17.01,19.13,11672.50,64609.50,Persons,All ages,
Excess winter deaths (three year),Aug 2007 - Jul 2010,,,E12000003,Yorkshire and the Humber region,17.81,16.57,19.06,8277.00,46480.00,Persons,All ages,
Excess winter deaths (three year),Aug 2007 - Jul 2010,,,E12000004,East Midlands region,17.84,16.49,19.21,6923.50,38808.50,Persons,All ages,
Excess winter deaths (three year),Aug 2007 - Jul 2010,,,E12000005,West Midlands region,19.82,18.59,21.07,9443.50,47634.50,Persons,All ages,
Excess winter deaths (three year),Aug 2007 - Jul 2010,,,E12000006,East of England region,19.24,18.02,20.48,9327.50,48473.50,Persons,All ages,
Excess winter deaths (three year),Aug 2007 - Jul 2010,,,E12000007,London region,19.28,18.03,20.55,8893.00,46122.00,Persons,All ages,
Excess winter deaths (three year),Aug 2007 - Jul 2010,,,E12000008,South East region,19.58,18.56,20.60,13737.50,70178.50,Persons,All ages,
Excess winter deaths (three year),Aug 2007 - Jul 2010,,,E12000009,South West region,18.55,17.34,19.77,9128.50,49223.50,Persons,All ages,
Excess winter deaths (three year),Aug 2008 - Jul 2011,,,E12000001,North East region,16.74,15.06,18.45,4126.50,24643.50,Persons,All ages,
Excess winter deaths (three year),Aug 2008 - Jul 2011,,,E12000002,North West region,18.42,17.36,19.49,11758.00,63848.00,Persons,All ages,
Excess winter deaths (three year),Aug 2008 - Jul 2011,,,E12000003,Yorkshire and the Humber region,18.23,16.99,19.49,8391.00,46016.00,Persons,All ages,
Excess winter deaths (three year),Aug 2008 - Jul 2011,,,E12000004,East Midlands region,19.67,18.30,21.06,7563.00,38447.00,Persons,All ages,
Excess winter deaths (three year),Aug 2008 - Jul 2011,,,E12000005,West Midlands region,20.06,18.81,21.32,9446.00,47088.00,Persons,All ages,
Excess winter deaths (three year),Aug 2008 - Jul 2011,,,E12000006,East of England region,18.87,17.65,20.10,9117.00,48321.00,Persons,All ages,
Excess winter deaths (three year),Aug 2008 - Jul 2011,,,E12000007,London region,19.15,17.88,20.42,8652.00,45188.00,Persons,All ages,
Excess winter deaths (three year),Aug 2008 - Jul 2011,,,E12000008,South East region,20.33,19.31,21.37,14223.00,69945.00,Persons,All ages,
Excess winter deaths (three year),Aug 2008 - Jul 2011,,,E12000009,South West region,18.61,17.40,19.83,9118.00,48992.00,Persons,All ages,
Excess winter deaths (three year),Aug 2009 - Jul 2012,,,E12000001,North East region,13.71,12.05,15.39,3363.00,24537.00,Persons,All ages,
Excess winter deaths (three year),Aug 2009 - Jul 2012,,,E12000002,North West region,15.72,14.68,16.77,10036.50,63842.50,Persons,All ages,
Excess winter deaths (three year),Aug 2009 - Jul 2012,,,E12000003,Yorkshire and the Humber region,15.69,14.46,16.92,7276.50,46389.50,Persons,All ages,
Excess winter deaths (three year),Aug 2009 - Jul 2012,,,E12000004,East Midlands region,17.03,15.68,18.39,6577.00,38625.00,Persons,All ages,
Excess winter deaths (three year),Aug 2009 - Jul 2012,,,E12000005,West Midlands region,16.61,15.39,17.84,7847.50,47236.50,Persons,All ages,
Excess winter deaths (three year),Aug 2009 - Jul 2012,,,E12000006,East of England region,16.98,15.78,18.20,8252.50,48600.50,Persons,All ages,
Excess winter deaths (three year),Aug 2009 - Jul 2012,,,E12000007,London region,17.16,15.91,18.43,7723.50,44996.50,Persons,All ages,
Excess winter deaths (three year),Aug 2009 - Jul 2012,,,E12000008,South East region,17.78,16.78,18.80,12537.00,70493.00,Persons,All ages,
Excess winter deaths (three year),Aug 2009 - Jul 2012,,,E12000009,South West region,15.81,14.62,17.01,7773.00,49176.00,Persons,All ages,
Excess winter deaths (three year),Aug 2010 - Jul 2013,,,E12000001,North East region,15.96,14.29,17.66,3949.50,24747.50,Persons,All ages,
Excess winter deaths (three year),Aug 2010 - Jul 2013,,,E12000002,North West region,17.08,16.03,18.13,11005.50,64447.50,Persons,All ages,
Excess winter deaths (three year),Aug 2010 - Jul 2013,,,E12000003,Yorkshire and the Humber region,17.19,15.96,18.43,8061.00,46890.00,Persons,All ages,
Excess winter deaths (three year),Aug 2010 - Jul 2013,,,E12000004,East Midlands region,18.25,16.90,19.61,7147.50,39172.50,Persons,All ages,
Excess winter deaths (three year),Aug 2010 - Jul 2013,,,E12000005,West Midlands region,17.68,16.46,18.91,8476.50,47949.50,Persons,All ages,
Excess winter deaths (three year),Aug 2010 - Jul 2013,,,E12000006,East of England region,17.72,16.52,18.94,8738.00,49299.00,Persons,All ages,
Excess winter deaths (three year),Aug 2010 - Jul 2013,,,E12000007,London region,18.02,16.76,19.29,8089.50,44894.50,Persons,All ages,
Excess winter deaths (three year),Aug 2010 - Jul 2013,,,E12000008,South East region,18.14,17.15,19.15,13047.00,71909.00,Persons,All ages,
Excess winter deaths (three year),Aug 2010 - Jul 2013,,,E12000009,South West region,16.23,15.05,17.42,8121.00,50046.00,Persons,All ages,
Life expectancy at birth,2000 - 02,,,E12000001,North East region,74.50,74.40,74.70,,3698862.00,Male,All ages,
Life expectancy at birth,2000 - 02,,,E12000002,North West region,74.60,74.50,74.60,,9875885.00,Male,All ages,
Life expectancy at birth,2000 - 02,,,E12000003,Yorkshire and the Humber region,75.40,75.30,75.50,,7264549.00,Male,All ages,
Life expectancy at birth,2000 - 02,,,E12000004,East Midlands region,76.10,76.00,76.20,,6186426.00,Male,All ages,
Life expectancy at birth,2000 - 02,,,E12000005,West Midlands region,75.40,75.30,75.50,,7769191.00,Male,All ages,
Life expectancy at birth,2000 - 02,,,E12000006,East of England region,77.00,76.90,77.10,,7946125.00,Male,All ages,
Life expectancy at birth,2000 - 02,,,E12000007,London region,75.80,75.70,75.90,,10765939.00,Male,All ages,
Life expectancy at birth,2000 - 02,,,E12000008,South East region,77.20,77.10,77.30,,11762141.00,Male,All ages,
Life expectancy at birth,2000 - 02,,,E12000009,South West region,77.10,77.00,77.20,,7219163.00,Male,All ages,
Life expectancy at birth,2001 - 03,,,E12000001,North East region,74.70,74.60,74.90,,3697475.00,Male,All ages,
Life expectancy at birth,2001 - 03,,,E12000002,North West region,74.80,74.70,74.90,,9906192.00,Male,All ages,
Life expectancy at birth,2001 - 03,,,E12000003,Yorkshire and the Humber region,75.60,75.50,75.70,,7297804.00,Male,All ages,
Life expectancy at birth,2001 - 03,,,E12000004,East Midlands region,76.30,76.20,76.40,,6230636.00,Male,All ages,
Life expectancy at birth,2001 - 03,,,E12000005,West Midlands region,75.60,75.50,75.70,,7796374.00,Male,All ages,
Life expectancy at birth,2001 - 03,,,E12000006,East of England region,77.30,77.20,77.40,,7996530.00,Male,All ages,
Life expectancy at birth,2001 - 03,,,E12000007,London region,76.00,75.90,76.10,,10871818.00,Male,All ages,
Life expectancy at birth,2001 - 03,,,E12000008,South East region,77.40,77.30,77.50,,11818864.00,Male,All ages,
Life expectancy at birth,2001 - 03,,,E12000009,South West region,77.40,77.30,77.50,,7270358.00,Male,All ages,
Life expectancy at birth,2002 - 04,,,E12000001,North East region,74.90,74.80,75.10,,3698821.00,Male,All ages,
Life expectancy at birth,2002 - 04,,,E12000002,North West region,75.10,75.00,75.20,,9956054.00,Male,All ages,
Life expectancy at birth,2002 - 04,,,E12000003,Yorkshire and the Humber region,75.80,75.70,75.90,,7347782.00,Male,All ages,
Life expectancy at birth,2002 - 04,,,E12000004,East Midlands region,76.50,76.40,76.60,,6280475.00,Male,All ages,
Life expectancy at birth,2002 - 04,,,E12000005,West Midlands region,75.90,75.80,76.00,,7830868.00,Male,All ages,
Life expectancy at birth,2002 - 04,,,E12000006,East of England region,77.60,77.50,77.70,,8046048.00,Male,All ages,
Life expectancy at birth,2002 - 04,,,E12000007,London region,76.40,76.30,76.50,,10934344.00,Male,All ages,
Life expectancy at birth,2002 - 04,,,E12000008,South East region,77.70,77.60,77.80,,11875146.00,Male,All ages,
Life expectancy at birth,2002 - 04,,,E12000009,South West region,77.70,77.60,77.80,,7324460.00,Male,All ages,
Life expectancy at birth,2003 - 05,,,E12000001,North East region,75.30,75.20,75.50,,3704317.00,Male,All ages,
Life expectancy at birth,2003 - 05,,,E12000002,North West region,75.40,75.30,75.50,,10011466.00,Male,All ages,
Life expectancy at birth,2003 - 05,,,E12000003,Yorkshire and the Humber region,76.20,76.10,76.30,,7415871.00,Male,All ages,
Life expectancy at birth,2003 - 05,,,E12000004,East Midlands region,76.90,76.80,77.00,,6336131.00,Male,All ages,
Life expectancy at birth,2003 - 05,,,E12000005,West Midlands region,76.20,76.10,76.30,,7877256.00,Male,All ages,
Life expectancy at birth,2003 - 05,,,E12000006,East of England region,77.90,77.90,78.00,,8107715.00,Male,All ages,
Life expectancy at birth,2003 - 05,,,E12000007,London region,76.80,76.70,76.90,,10999856.00,Male,All ages,
Life expectancy at birth,2003 - 05,,,E12000008,South East region,78.10,78.00,78.20,,11951426.00,Male,All ages,
Life expectancy at birth,2003 - 05,,,E12000009,South West region,78.10,78.00,78.20,,7383844.00,Male,All ages,
Life expectancy at birth,2004 - 06,,,E12000001,North East region,75.70,75.60,75.90,,3713667.00,Male,All ages,
Life expectancy at birth,2004 - 06,,,E12000002,North West region,75.80,75.70,75.80,,10065961.00,Male,All ages,
Life expectancy at birth,2004 - 06,,,E12000003,Yorkshire and the Humber region,76.50,76.40,76.60,,7484409.00,Male,All ages,
Life expectancy at birth,2004 - 06,,,E12000004,East Midlands region,77.30,77.20,77.40,,6394290.00,Male,All ages,
Life expectancy at birth,2004 - 06,,,E12000005,West Midlands region,76.60,76.50,76.70,,7928911.00,Male,All ages,
Life expectancy at birth,2004 - 06,,,E12000006,East of England region,78.30,78.20,78.40,,8174480.00,Male,All ages,
Life expectancy at birth,2004 - 06,,,E12000007,London region,77.30,77.20,77.40,,11093331.00,Male,All ages,
Life expectancy at birth,2004 - 06,,,E12000008,South East region,78.50,78.40,78.60,,12039665.00,Male,All ages,
Life expectancy at birth,2004 - 06,,,E12000009,South West region,78.40,78.40,78.50,,7443153.00,Male,All ages,
Life expectancy at birth,2005 - 07,,,E12000001,North East region,76.20,76.10,76.30,,3727821.00,Male,All ages,
Life expectancy at birth,2005 - 07,,,E12000002,North West region,76.10,76.00,76.10,,10118047.00,Male,All ages,
Life expectancy at birth,2005 - 07,,,E12000003,Yorkshire and the Humber region,76.80,76.70,76.90,,7544599.00,Male,All ages,
Life expectancy at birth,2005 - 07,,,E12000004,East Midlands region,77.60,77.50,77.70,,6453775.00,Male,All ages,
Life expectancy at birth,2005 - 07,,,E12000005,West Midlands region,76.90,76.80,77.00,,7987197.00,Male,All ages,
Life expectancy at birth,2005 - 07,,,E12000006,East of England region,78.60,78.50,78.70,,8252491.00,Male,All ages,
Life expectancy at birth,2005 - 07,,,E12000007,London region,77.70,77.60,77.80,,11219730.00,Male,All ages,
Life expectancy at birth,2005 - 07,,,E12000008,South East region,78.90,78.80,78.90,,12149518.00,Male,All ages,
Life expectancy at birth,2005 - 07,,,E12000009,South West region,78.70,78.60,78.80,,7511688.00,Male,All ages,
Life expectancy at birth,2006 - 08,,,E12000001,North East region,76.40,76.20,76.50,,3741949.00,Male,All ages,
Life expectancy at birth,2006 - 08,,,E12000002,North West region,76.40,76.30,76.40,,10172762.00,Male,All ages,
Life expectancy at birth,2006 - 08,,,E12000003,Yorkshire and the Humber region,77.10,77.00,77.20,,7596163.00,Male,All ages,
Life expectancy at birth,2006 - 08,,,E12000004,East Midlands region,77.80,77.70,77.90,,6510604.00,Male,All ages,
Life expectancy at birth,2006 - 08,,,E12000005,West Midlands region,77.20,77.10,77.30,,8048678.00,Male,All ages,
Life expectancy at birth,2006 - 08,,,E12000006,East of England region,78.90,78.80,79.00,,8329331.00,Male,All ages,
Life expectancy at birth,2006 - 08,,,E12000007,London region,78.10,78.00,78.10,,11369607.00,Male,All ages,
Life expectancy at birth,2006 - 08,,,E12000008,South East region,79.10,79.10,79.20,,12268511.00,Male,All ages,
Life expectancy at birth,2006 - 08,,,E12000009,South West region,78.90,78.80,79.00,,7575544.00,Male,All ages,
Life expectancy at birth,2007 - 09,,,E12000001,North East region,76.70,76.60,76.80,,3756525.00,Male,All ages,
Life expectancy at birth,2007 - 09,,,E12000002,North West region,76.60,76.60,76.70,,10225904.00,Male,All ages,
Life expectancy at birth,2007 - 09,,,E12000003,Yorkshire and the Humber region,77.40,77.30,77.40,,7646936.00,Male,All ages,
Life expectancy at birth,2007 - 09,,,E12000004,East Midlands region,78.10,78.00,78.20,,6562380.00,Male,All ages,
Life expectancy at birth,2007 - 09,,,E12000005,West Midlands region,77.50,77.40,77.60,,8108254.00,Male,All ages,
Life expectancy at birth,2007 - 09,,,E12000006,East of England region,79.20,79.10,79.30,,8405135.00,Male,All ages,
Life expectancy at birth,2007 - 09,,,E12000007,London region,78.50,78.40,78.50,,11546501.00,Male,All ages,
Life expectancy at birth,2007 - 09,,,E12000008,South East region,79.40,79.30,79.50,,12384643.00,Male,All ages,
Life expectancy at birth,2007 - 09,,,E12000009,South West region,79.10,79.00,79.20,,7633013.00,Male,All ages,
Life expectancy at birth,2008 - 10,,,E12000001,North East region,77.10,76.90,77.20,,3772619.00,Male,All ages,
Life expectancy at birth,2008 - 10,,,E12000002,North West region,77.00,76.90,77.10,,10282053.00,Male,All ages,
Life expectancy at birth,2008 - 10,,,E12000003,Yorkshire and the Humber region,77.70,77.60,77.80,,7698368.00,Male,All ages,
Life expectancy at birth,2008 - 10,,,E12000004,East Midlands region,78.30,78.20,78.40,,6613739.00,Male,All ages,
Life expectancy at birth,2008 - 10,,,E12000005,West Midlands region,77.90,77.80,78.00,,8169928.00,Male,All ages,
Life expectancy at birth,2008 - 10,,,E12000006,East of England region,79.50,79.40,79.60,,8485457.00,Male,All ages,
Life expectancy at birth,2008 - 10,,,E12000007,London region,78.80,78.70,78.90,,11736395.00,Male,All ages,
Life expectancy at birth,2008 - 10,,,E12000008,South East region,79.70,79.60,79.70,,12505182.00,Male,All ages,
Life expectancy at birth,2008 - 10,,,E12000009,South West region,79.40,79.30,79.50,,7682261.00,Male,All ages,
Life expectancy at birth,2009 - 11,,,E12000001,North East region,77.50,77.40,77.60,,3789755.00,Male,All ages,
Life expectancy at birth,2009 - 11,,,E12000002,North West region,77.40,77.30,77.50,,10340571.00,Male,All ages,
Life expectancy at birth,2009 - 11,,,E12000003,Yorkshire and the Humber region,78.10,78.00,78.20,,7749144.00,Male,All ages,
Life expectancy at birth,2009 - 11,,,E12000004,East Midlands region,78.70,78.60,78.80,,6661976.00,Male,All ages,
Life expectancy at birth,2009 - 11,,,E12000005,West Midlands region,78.40,78.30,78.50,,8232232.00,Male,All ages,
Life expectancy at birth,2009 - 11,,,E12000006,East of England region,79.90,79.80,79.90,,8566892.00,Male,All ages,
Life expectancy at birth,2009 - 11,,,E12000007,London region,79.30,79.20,79.40,,11942740.00,Male,All ages,
Life expectancy at birth,2009 - 11,,,E12000008,South East region,80.00,79.90,80.10,,12626057.00,Male,All ages,
Life expectancy at birth,2009 - 11,,,E12000009,South West region,79.80,79.70,79.90,,7734871.00,Male,All ages,
Life expectancy at birth,2010 - 12,,,E12000001,North East region,77.80,77.70,78.00,,3806565.00,Male,All ages,
Life expectancy at birth,2010 - 12,,,E12000002,North West region,77.70,77.70,77.80,,10398003.00,Male,All ages,
Life expectancy at birth,2010 - 12,,,E12000003,Yorkshire and the Humber region,78.30,78.20,78.40,,7802641.00,Male,All ages,
Life expectancy at birth,2010 - 12,,,E12000004,East Midlands region,79.10,79.00,79.20,,6710731.00,Male,All ages,
Life expectancy at birth,2010 - 12,,,E12000005,West Midlands region,78.70,78.60,78.80,,8296519.00,Male,All ages,
Life expectancy at birth,2010 - 12,,,E12000006,East of England region,80.10,80.00,80.20,,8646872.00,Male,All ages,
Life expectancy at birth,2010 - 12,,,E12000007,London region,79.70,79.60,79.80,,12135472.00,Male,All ages,
Life expectancy at birth,2010 - 12,,,E12000008,South East region,80.30,80.20,80.40,,12750558.00,Male,All ages,
Life expectancy at birth,2010 - 12,,,E12000009,South West region,80.00,79.90,80.10,,7796493.00,Male,All ages,
Life expectancy at birth,2011 - 13,,,E12000001,North East region,78.00,77.90,78.20,,3821323.00,Male,All ages,
Life expectancy at birth,2011 - 13,,,E12000002,North West region,78.00,77.90,78.10,,10446465.00,Male,All ages,
Life expectancy at birth,2011 - 13,,,E12000003,Yorkshire and the Humber region,78.50,78.40,78.60,,7849983.00,Male,All ages,
Life expectancy at birth,2011 - 13,,,E12000004,East Midlands region,79.30,79.20,79.40,,6757125.00,Male,All ages,
Life expectancy at birth,2011 - 13,,,E12000005,West Midlands region,78.80,78.70,78.90,,8356859.00,Male,All ages,
Life expectancy at birth,2011 - 13,,,E12000006,East of England region,80.30,80.20,80.40,,8720831.00,Male,All ages,
Life expectancy at birth,2011 - 13,,,E12000007,London region,80.00,80.00,80.10,,12324868.00,Male,All ages,
Life expectancy at birth,2011 - 13,,,E12000008,South East region,80.40,80.30,80.50,,12863589.00,Male,All ages,
Life expectancy at birth,2011 - 13,,,E12000009,South West region,80.10,80.00,80.20,,7859536.00,Male,All ages,
Life expectancy at birth,2000 - 02,,,E12000001,North East region,79.30,79.20,79.50,,3925249.00,Female,All ages,
Life expectancy at birth,2000 - 02,,,E12000002,North West region,79.40,79.30,79.50,,10456203.00,Female,All ages,
Life expectancy at birth,2000 - 02,,,E12000003,Yorkshire and the Humber region,80.20,80.10,80.30,,7670814.00,Female,All ages,
Life expectancy at birth,2000 - 02,,,E12000004,East Midlands region,80.50,80.40,80.60,,6393025.00,Female,All ages,
Life expectancy at birth,2000 - 02,,,E12000005,West Midlands region,80.30,80.20,80.40,,8082405.00,Female,All ages,
Life expectancy at birth,2000 - 02,,,E12000006,East of England region,81.40,81.30,81.50,,8261998.00,Female,All ages,
Life expectancy at birth,2000 - 02,,,E12000007,London region,80.80,80.70,80.90,,11169847.00,Female,All ages,
Life expectancy at birth,2000 - 02,,,E12000008,South East region,81.50,81.50,81.60,,12297098.00,Female,All ages,
Life expectancy at birth,2000 - 02,,,E12000009,South West region,81.70,81.60,81.80,,7617404.00,Female,All ages,
Life expectancy at birth,2001 - 03,,,E12000001,North East region,79.50,79.30,79.60,,3923676.00,Female,All ages,
Life expectancy at birth,2001 - 03,,,E12000002,North West region,79.50,79.40,79.50,,10466333.00,Female,All ages,
Life expectancy at birth,2001 - 03,,,E12000003,Yorkshire and the Humber region,80.30,80.20,80.40,,7705264.00,Female,All ages,
Life expectancy at birth,2001 - 03,,,E12000004,East Midlands region,80.50,80.40,80.60,,6435819.00,Female,All ages,
Life expectancy at birth,2001 - 03,,,E12000005,West Midlands region,80.40,80.30,80.50,,8111071.00,Female,All ages,
Life expectancy at birth,2001 - 03,,,E12000006,East of England region,81.40,81.30,81.50,,8310754.00,Female,All ages,
Life expectancy at birth,2001 - 03,,,E12000007,London region,80.80,80.80,80.90,,11222073.00,Female,All ages,
Life expectancy at birth,2001 - 03,,,E12000008,South East region,81.60,81.60,81.70,,12337701.00,Female,All ages,
Life expectancy at birth,2001 - 03,,,E12000009,South West region,81.80,81.70,81.80,,7655788.00,Female,All ages,
Life expectancy at birth,2002 - 04,,,E12000001,North East region,79.60,79.40,79.70,,3922742.00,Female,All ages,
Life expectancy at birth,2002 - 04,,,E12000002,North West region,79.70,79.60,79.80,,10483855.00,Female,All ages,
